abbreviation,full,type
"Falk, Brudersch","H. Falk, Bruderschaft und Würfelspiel,. Untersuchungen zur Entwicklungsgeschichte des vedisehen Opfers. Freiburg 1986.",reference
"Frisk, Nom","H. Frisk, Zur indoiranischen und griechischen Nominalbildung. Göteborg 1934.",reference
"Frisk, -th-","H. Frisk, Suffixales -th- im Indogermanischen Göteborg 1936.",reference
"Fs Ambrosini","Scritti in onore di Riccarcio Ambrosini. Pisa 1985.",reference
"Fs Bally","Mélanges de linguistique offerts à Charles Bally. Genf 1939.",reference
"Fs DuchesneGuillemin","Orientalia J. Duchesne-Guillemin Emerito. Oblata. [Acta Iranica 23]. Leiden 1984.",reference
"Fs Hoenigswald","Festschrift for Henry Hoenigswald; Tübingen 1987",reference
"Fs Hrozný","Symbolae ad Studia Orientis Pertinentes Frederico Hrozný Dedicatae. Pars I-V [= Archiv Orientální 17, 18]. rag 1949; 1950.]",reference
"Fs Mastrelli","Studi linguistici e filologici per Carlo Alberto, Mastrelli. Pisa 1985.",reference
"Fs Sarma","Surabhi. Sreekrishna Sarma Felicitation Volume. Tirupati 1983.",reference
"Fs Tovar","Navicula Tubingensis. Studia in Honorem Antonii Tovar, Tübingen 1984.",reference
"Fs Wintemitz","Festschrift Moriz Winteriniz. Leipzig 1993,",reference
"Gersh, Gramm","I. Gershevitch, A Grammar of Manichean Sogdian. Oxford 1954.",reference
"GrammKat","Grammatische Kategorien[.] Funktion und Geschichte. Akten der VII Fachtagung der Indogermanischen Gesellschaft Berlin, 20-25. Februar 1983. Wiesbaden 1985.",reference
"Alsdorf, KS","M. Alsdorf, Kleine Schriften. [Glasenapp-Stiftuog Bd. 10). Wiesbaden 1974.", reference
"Andreev-Peščereva, Jagnobskie teksty","M. S. Andreev - E. M. Peščereva, Jagnobskie teksty s priložteniem jagnobsko-russkogo slovarja. Leningrad 1957.", reference
"AnttSchweb","R. Anttila, Proto-lndo-European Schwebeablaut [University of California Publications in Lingu-istics Vol. 58). Berkeley - Los Angeles 1969.", reference
"AsS","Asiatische Studien / Etudcs asiatiques. Zürich.", reference
"Benv, Orig","E. Benveniste, Origines de Ja formation des noms en indo-europeen. [I). Paris 1935.", reference
"Cal, Zaub","W. CaJand, Altindisches Zauberritual. [VKNA N. R. Deel 1D N° 2,1900). Nachdruck Wiesbaden 1967.", reference
"Dand, VedBibl [o. I 11]","Dazu Vol. IV, Poona 1985.", reference
"Eich, Diss","H. Eichner, Untersuchungen zur hethitischen Deklination. Diss. Univ. Erlangen-Nürnberg [Teildruck) 1974.", reference
"Fs Chatterji","Suniti Kumar Chatterji Jubilee'Volüme.' [= Indian Linguistics 16, 1955).", reference
"Fs Rahn","AINirMA. Festschrift für Helmut Rahn; Heidelberg 1987.", reference
"Fs Whatmough","Studies Presented to Joshtia Whatmough. Den Haag 1957.", reference
"Gs Cowgill","Studies in Memory of Warren Cowgill (1929'.. 1985). Berlin - New York 1987.", reference
"Hoffin, Inj","K. Hoffmann, Der Iajunktiv im Veda. Ein~ synchronische Funktionsuntersuchung. Heidelberg 1967.", reference
"IC","Indogermanische Chronik. Bibliogrl!.phischer An-hang iu Spr (13tf.).", reference
"JüS","Jüngere Sprache . .[VgL die o. I 2f. (§ 2.2) getrof-fene Einteilung).", reference
"Kan.","Kannada (Kanara, Kanaresisch).","language"
"Keith, TS","A. B. Keith, Tbe Veda ofthe Black Yajus School entitled Taittii:iya Sarihitä •. [Harvard C>rientiil Se-. ries Vol. 18, 19]. Cambridge, Mass; l~l4, Reprint Delhi etc. 1967.", reference
"AcLH","Acta Linguistica Hafnensia. Kopenhagen",reference
"Andreas-Henning","F. C. Andrcos, Mitteliranische Manichaica aus Chinesisch-Turkestan. Aus dem Nachlaß herausgegeben von W. B. Henning. 1-ffi. Berlin (SbAkBerlin) 1932, 1933, 1934 [Henning. SelP 1 lff., 19Iff., 275ff.]",reference
"ĀpDhS","Āpastamba-Dhannasütra",reference
"APILKU","Arbejdspapirer, udsendt aflnstitut for Lingvistlk, K0benhavns Universitet. Kopenhagen.",reference
"Ār","Āraṇyaka",reference
"Berger, Probl","H. Berger, Zwei Probleme der mittelindischen Lautgeschichte. [Münchener lndologische Studien, Heft 1). München 1955.",reference
"BiOr","Bibliotheca Orientalis. Leiden.",reference
"Bur, Shwa","T. Burrow, Thc Problem of Shwa in Sanskrit. Oxford 1979.",reference
"CalRaV, ŚBKāṇv","The Śatapatha Brāhmaṇa in the Kāṇviya Recension, ed. for the first time by Dr. W. Caland, revised by Dr. Raghu Vira. Labore 1926, Nachdruck Delhi u.a. 1983.",reference
"Charp, Brahman","J. Charpentier, Brahman. Eine sprachwissenschaftlich-religionswissenschaftliche Untersuchung. Uppsala Universitets Arsskrift 1932 : 8.",reference
"Das, Lebensspanne","R. P. Das, Das Wissen von der Lebensspanne der Bäume. Surapälas Vrqäyurveda kritisch ediert, übersetzt und kommentiert. [Alt- und Neu-Indische Studien 34). Stuttgart 1988.",reference
"Davary, Baktr","G. D. Davary, Baktrisch. Ein Wörterbuch. Heidelberg 1982.",reference
"DPe","Dareios, Persepolis e.",reference
"Eggeling","The Satapatha-Brähmana ... Translated by J. Eggeling. Oxford 1882-1900.",reference
"Em, SelP","B. A van Nooten (ed.), Sanskrit Studies of M. 8. Emeneau. Selected Papers. Berkeley 1988.",reference
"Emm, SGS","R. E. Emmerick, Saka Grammatical Studies. London 1968.",reference
"Ernout-Meillet","A. Emout - A. Meillet, Dictionnaire etymologique de 1a langue latine. Histoire des mots. 4än• Mition, 4~ tirage augmente • • • par J. Andre. Paris 1985.",reference
"AGI","Archivio Glottologico Italiano",reference
"Andreas-Barr","F. C. Andreas, Bruchstücke einer Peblevi-Übersetzung der Psalmen. Aus dem Nachlass herausgegeben von W. B. Henning. 1-4. Berlin (SbAkBerlin) 1932, 1933, 1934 [Henning. SelP 1 ÄpDhS APILKU Är",reference
"ArchOr","Archiv orientalni PratJ.",reference
"ÄS","Ältere Sprache",language
"BEI","Bulletin d'Études Indiennes",reference
"Beriv, Titres","E. Benveniste, Titres et noms propres en Iranien Ancien. Paris 1936.",reference
"BergRelig","A. Bergaigne, La religion vedique d'apres les hymnes du Rig-Veda. 3 Bde. París 1878-1897. Nachdruck 1963.",reference
"CalPB","W. Caland, Pancavimsa-Brahmana. The Brahmana of Twenty-Five Chapters (Translated). Calcutta 1931.",reference
"CampSostr","E. Campanile (ed.), Problemi di sostrato nelle lingue indoeuropee. Pisa 1983.",reference
"CompLl","R. Schmitt (ed.), Compennium Linguarum Iranicarum. Wiesbaden 1989.",reference
"Edg, Dict","F. Edgerton, Buddhist Hybrid Sanskrit. Grammar and Dictionary. Vol. II: Dictionary. New Haven 1953.",reference
"Etter, Frages","A. Etter, Die Fragesätze im Vedischen. Berlin-New York 1985.",reference
"Fs Asmussern","A 'Green Leaf' Papers for Professor Jes P. Asmussen. Leiden 1988.",reference
"Fs Boyce","Papers in Honour of Professor Mary Boyce. 2 Bde. Leiden 1985.",reference
"Fs Scherer","Donum Indogermanicum. Festgabe für Anton Scherer zum 70. Geburtstag. Heidelberg 1971.",reference
"Fs Schrijnen","Donum Natalicium: Schrijnen Volume. A Volume of Essays Presented to Dr. Jos. Schrijnen. Nijmegen 1947.",reference
"Fs Sternbach","Ludvika Sternbach Abhinandana-Granthavali. Ludwik Sternbach Felicitation Volumes. 2 Parts. Lucknow 1979.",reference
"Fs Vasmer","Festschrift für Max Vasmer zum 70. Geburtstag. Wiesbaden 1956.",reference
"Gaut","Gautam, Dharmaśāstra.",reference
"Amg.","Ardha-Mägadhi.",language
"Aor.","Aorist.",language
"Aś.","In Aśoka-Inschriften erscheinend.",language
"Berneker","E. Berneker, Slavisches etymologisches Wörterbuch. I. Band, Heidelberg 1908-1913[f.].",reference
"Em, LgLingA","Language and Linguistic Area. Essays by M. B. Emeneau. Stanford 1980.",reference
"Fs Gipper","Collectanea Philologica. Festschrift für Helmut Gipper zum 65. Geburtstag. 2 Bde, Baden-Baden 1985.",reference
"Fs Schützeichel","Althochdeutsch. Herausgegeben von R Bergmann u. a. [Rudolf Schützeichel zum 20. Mai 1987 gewidmet). 2 Bde, Heidelberg 1987.",reference
"Geiger, Pā","W. Geiger, Pāli, Literatur und Sprache. [Grundriß der lndo-Arischen Philologie und Altertumskunde I 7). Straßburg 1916.",reference
"Gobh","Gobhila-Grhyasütra.",reference
"Hinz-Koch","W. Hinz - H. Koch, Elarnisches Wörterbuch (in 2 Teilen). [Archäologische Mitteilungen aus Iran, Ergänzungsband 17). Berlin 1987.",reference
"Inj.","Injunktiv.",language
"Kaus.","Kausativum.",language
"Kel-Pir I","I. Kellens - E. Pirart, Les textes vieil-avestiques. Volume I: Introduction, texte et traduction. Wiesbaden 1988.",reference
"Klein, DiscGrammar","J. S. Klein, Toward a Discourse Grammar of the Rigveda. 2 Teile. Heidelberg 1985.",reference
"Konj.","Kortjunktiv.",language
"Krause-Thomas","W. Krause - W. Thomas, Tocharisches Wörterbuch. Band I, Heidelberg 1960; Band II (von W. Thomas). Heidelberg 1964.",reference
"Kur, AkzAbl","J. Kurylowicz, Indogermanische Grammatik. Band II, Akzent Ablaut Heidelberg 1968.",reference
"LarTheor","A. Banimesberger (ed.), Die Laryngaltheorie und die Rekonstruktion des indogermanischen Laut- und Formenbestandes. Heidelberg 1988.",reference
"Mh,ZNdA","M. Mayrhofer, Zum Namenrecht des Avesta. [SbÖAW 308, Wien 1977].",reference
"AIED","Ancient Indo-European Dialects. Proceedings of the Conference on Indo-European Linguists Held at the University of California, Los Angeles, April 25-27, 1963. Edited by H. Birnbaum and J. Puhvel. Berkeley and Los Angeles 1966.",reference
"AiGr, IG","J. Wackernagel, Altindische Grammatik. Introduction generale ... par t. Renou. Göttingen 1957.",reference
"ĀpGS","Āpastamba-Grhyasütra.",reference
"ĀpM","Āpastamba-Mantrapäthä.",reference
"BBCS","The Bulletin of the Board of Celtic Studies. Cardiff.",reference
"Bee, Gramm","R. S. P. Beekes, A Grammar of Gathic Avestan, Leiden etc. 1988.",reference
"BL","Bibliographie Linguistique / Linguistic Bibliography. Zuletzt veröffentlicht. Boston & London.",reference
"Brucker, Kulturep","E. Brucker, Die spätvedische Kulturperiode nach den Quellen der Śrautasūtras. [Alt- und Neu-Indische Studien 22]. Wiesbaden 1980.",reference
"Br̩Up","Br̩had-Āraṇyaka-Upaniṣad",literature
"BSlI","Baltö-slavjanskie issledovaniia. Moskva.",reference
"CalBaudhŚS","The Baudhäyana Śrauta Sutra. Edited by Dr. W. Caland. 3 Bde., Calcutta 1904-13, 2nd ed: New Delhi 1982.",reference
"CalJB","W. Caland, Das Jaiminiya-Brāhmaṇa in Auswahl [VKNA 194]. Amsterdam 1919; Neudruck Wiesbaden 1970.",reference
"DelbrSynt","C. Delbrück, Altindische Syntax. Halle 1888.",reference
"DialLitIndA","C. Caillat (ed.), Dialectes des littératures Indo-Aryennes. Actes du Colloque International. Paris, septembre 1989. Paris 1989.",reference
"Emér","Emérita. Boletin de lingüistica y filologia clasica. Madrid.",reference
"Fs Abaev","Iransko-Indijskoe Jazykoznanie. Tipologija fonologija morfologija (K 1sie¡111 piro11stogo 11b re¡ultaty. Tbilisi 1976.",reference
"Fs Polomé","Languages and Cultures. Studies in Honor of Edgar C. Polomé. Berlin-New York-Amsterdam 1988",reference
"Bader, Langue des dieux","F. Bader, ta langue des clieux, ou l'hermétisme des poètes indo-européens. [Testi Linguistici 14). Pisa 1989.","reference"
"BaldiChange","Ph. Baldi (ed.), Linguistic Change and Reconstruction Methodology. Bertin. New York 1990","reference"
"BlochAs","J. Bloch, Les inscriptions d'Asoka. Paris 1950","reference"
"Cal, KS","W. Caland, Kleine Schrift1m. [Glasenapp-Stiftung Bd. 27]. Stuttgart 1990","reference"
"CampSIE","E. Campanile (ed.), Studi indoeuropei. Pisa 1985","reference"
"Drlnd","Drevnjaja Indija. Jazyk. Kul'tura. Tejcst. Moskau 1985","reference"
"Eich, Habilschr","H. Eichner, Studien zu den indogermanischen Numeralia: Rekonstruktion des urindogermanischen Formensystems und Deklinationssystem seiner Einzelsprachen, wie es im Kardinalia zwei bis vier erscheint. Habilitationsschrift Universität Regensburg 1982 [Münchner Studien]","reference"
"Fs Bolelli II","Tra linguistica storica e linguistica generale, Scritti in onore di T. Bolelli. Pisa 1985","reference"
"Fs de Jong","lndological and Buddhist Studies. Volume in Honour of Professor J. W. de Jong on his Sixtieth Birthday. Canberra 1982","reference"
"Fs Hofmann","Ost und West: Band 2: Aufsätze zur Slavischen und Baltischen Philologie und allgemeinen Sprachwissenschaft. Frankfurter Abhandlungen zur Slavistik Band 24. Wiesbaden 1976","reference"
"Fs Lamotte","Indianisme et Bouddhisme. Mélanges offerts à Mgr Etienne Lamotte. Louvain-la-Neuve 1980","reference"
"Fs Otten I","Festschrift Heinrich Otten. 12.9. 1913. Wiesbaden 1973","reference"
"Fs Otten II","Documentum Asiae Minoris Antiquae. Festschrift für Heinrich Otten zum 70. Geburtstag. Wiesbaden 1988","reference"
"Fs Thomas","Studia Indogermanica et Slavica Werner Thomas zum 65 Geburtstag. [Supplementa Philologiae Slavicae, Supplementband 26]. München 1988","reference"
