abbreviation,full,type
"Brereton, Ādityas","J. P. Brereton, The J.lgvedic Ädityas. [American Oriental Series Vol. 63]. New Haven 1981.",reference
"Brugmann, Demonstr","K. Brugmann, Die Demonstrativa der indogermanischen Sprachen. Eine bedeutungsgeschicht- llche Untersuchung. Leipzig [AbhAkWiss XXII No. VI] 1904.",reference
"Brugmann, Grundriss","K. Brugmann [und B. Delbrück], Grundriss der vergleichenden Grammatik der indogermani- schen Sprachen Zweite Bearbeitung . Straßburg 1897-1916. [Nachdruck Berlin-New York 1970).",reference
"Brugmann, Wörter für 'heute'","K. Brugmann, Zu den Wörtern für 'heute', 'gestern', 'morgen' in den indogermanischen Sprachen. Berichte über die Verhandlungen der Sächsischen Gesellschaft der Wissenschaften zu Leipzig 69 (1917) 1. Heft.",reference
"BSOAS","Bulletin of the School of Oriental and African Studies. London. [Bis 1943 = BSOSJ.",reference
"BSOS","Bulletin of the School of Oriental Studies. London. [S. BSOAS.",reference
"Bthl","C. Bartholomae .",reference
"Bthl, Wb.","C. Bartholomae, Altiranisches Wörterbuch. Straßburg 1904. (Zweiter Nachdruck Berlin-New York 1979).",reference
"Bthl, ZAirWb","C. Bartholomae, Zum altiranischen Wörterbuch. Nacharbeiten und Vorarbeiten. [lF 19, Beiheft). Straßburg 1906. [Nachdruck zusammen mit Bthl, Wb 1979).",reference
"buddh.","buddhistisch .",grammar
"Bur","T. Burrow.",reference
"Bur, Skr","T. Burrow, Tue Sanskrit Language. New and revised edition. London 1973.",reference
"BzN","Beiträge zur Namenforschung . Heidelberg. (- BNF].",reference
"Cal","W. Caland.",reference
"Cal, ĀpŚS","W. Caland, Das Srautasütra des Äpastarnba. Aus dem Sanskrit übersetzt. I (Göttingen-Leipzig 1921) ff.",reference
"Camp","E. Campanile.",reference
"CampMat","E. Campanile ( ed.), Nuovi Matcriali per la Ricerca lndoeuropeistica. Pisa 1981.",reference
"CampProbl","E. Campanile (ed.), Problemi di Lingua e di Cultura nel Carnpo lndoeuropeo. Pisa 1983.",reference
"CFS","Cahiers Ferdinand de Saussure. Genf.",reference
"Chantraine","P. Chantraine, Dictionnaire etymologique de la langue grecque. Paris 1968(-1980).",reference
"Charp","J. Charpentier.",reference
"ChU","Chändogya-Upani~ad.",reference
"Colllnd I","Collectanea lndoeuropaea I. Univerza v Ljubljani, Filozofska Fakulteta, Oddelek za primerjalno jezikoslovje in orientalistiko. Series Comparativa m. Laibach 1978",reference
"CPHL","Current Progress in Historical Linguistics. Proceedings of the Second International Conference on Historical Linguistics, Tucson, Arizona, 12-16 January 1976. [North-Holland Linguistic Series 31). Amsterdam-New York-Oxford 1976.",reference
"c.-r.","comptes-rendus.",other
"Dand, VedBibl","RN. Dandekar, Vedic Bibliography. Vol. I, Bom-bay 1946; II, Poona 1961; III, Poona 1973.",reference
"Darms","G. Darms, Schwäher und Schwager, Hahn und Huhn. Die Vrddhi-Ableitung im Germanischen. [MSS Beiheft 9, Neue Folge}. München 1978.",reference
"DatDu","Dativ Dual.",grammar
"DatPl","Dativ Plural.",grammar
"DatSg","Dativ Singular.",grammar
"DB","Dareios, Behistun.",other
"Deb","A. Debrunner.",reference
"DED^2","T. Burrow-M. B. Emeneau, A Dravidian Etymological Dictionary. Second Edition. Oxford 1984.",reference
"Devlamminck-Jucquois, ComplGot I","B. Devlamminck-G. Jucquois, Complements aux dictionnaires etymologiques du gotique. Tome I (A-F), Löwen 1977.",reference
"de Vries","J. de Vries, Altnordisches etymologisches Wörterbuch. Leiden 1961.",reference
"Dhā","Dhätupii\ha.",other
"DSe","Dareios, Susa e.",other
"DumDieux","G. Dumezil, Les dieux souverains des lndo-Europeens. Paris 1977.",reference
"DumRituels","G. Dumezil, Rituels indo-europeens lt Rome. Paris 1954.",reference
"Eich","H. Eichner.",other
"Eich-K","I. Eichner-Kilhn.",other
"Eil","W. Eilers.",other
"Ern","M. B. Emeneau.",other
"Emm","R E. Emmerick.",other
"EmmSk","R E: Emmerick-P. 0. Skjmrv0, Studies in the Vocabulary of Khotanese, I (Wien 1982) ff.",reference
"Ét","Éōtimologija. Moskau.",other
"ÉtMithr","Études mithriaques. Actes du 2° Congres International Tllheran, du 1°' au 8 septembre 1975. [Acta lranica 17). Teheran-Lüttich-Leiden 1978.",reference
"Euler, dōnom dō-","W. Euler, dōnom dō-. Einejigura etymologica der Sprachen Altitaliens. [IBS-VKS 29). Innsbruck 1982.",reference
"EVP","s. Renou, EVP.",other
"F","Farhang i oīn.",other
"F. (°F), f.","Femininum.",grammar
"Fassunke [= Steinbauer]","D. Fassunke [= Steinbauer], Die Vertretung der urindogermanischen Medine Aspiratae im Lateinischen. Magisterarbeit Regensburg 1979. [Maschinenschriftlich vervielfältigt].",reference
"Feist","S. Feist, Vergleichendes Wörterbuch der Gotischen Sprache. Mit Einschluß des Krimgotischen und sonstiger zerstreuter Überreste des Gotischen. Dritte neubearbeitete und vermehrte Auflage. Leiden 1939.",reference
"Fem.","Femininum.",grammar
"Fiugr.","Finnisch-Ugrisch, Finnougrisch.",language
"FoLH","Folia Linguistica Historica. Den Haag.",reference
"Fraenkel","E. Fraenkel, Litauisches etymologisches Wörterbuch. Heidelberg 1962, 1965.",reference
"Friedrich, Trees","P. Friedrich, Proto-Indo-European Trees. Tue Arboreal System of a Prebistoric People. Chicago-London 1970.",reference
"Frisk","H. Frisk, Griechisches etymologisches Wörterbuch. Heidelberg 1960-1973.",reference
"Frisk, ldg.","H. Frisk, lndogermanica. [Göteborgs Högskolas Arsskrift XLIV 1). Göteborg 1938.",reference
"Frisk, KS","H. Frisk, Kleine Schriften zur Indogermanistik und griechischen Wortkunde. Göteborg 1966.",reference
"Fs Bechert","Freundliche Grüße zur Halbzeit. Festschrift für Johannes Bechert. Bremen. Institut für Sprachwissenschaft, 1981.",reference
"Fs Beeler","American Indian and lndoeuropean Studies. Papers in Honor of Madison S. Beeler. Den Haag etc. 1980.",reference
"Fs Belvalkar","Felicitation Volume Presented to Professor S. K. Belvalkar. Benares 1957.",reference
"Fs Benveniste","Melanges Linguistiques offerts A Emile Benveniste. Louvain 1975.",reference
"Fs Bolelli","Studi Linguistici in onore di Tristano Bolelli. Pisa 1974.",reference
"Fs Bonfante","Scritti in onore di Giuliano Bonfante. Brescia 1976.",reference
"Fs Braun","Slavisches Spektrum. Maximilian Braun zum 80. Geburtstag. Wiesbaden 1983.",reference
"Fs Brown","lndological Studies in · Honor of W. Norman Brown. New Haven 1962.",reference
"Fs Collitz","Studies in Honor of Hermann Collitz. Baltimore 1933.",reference
"Fs Danielsson","Symbolae Philologicae 0. A. Danielsson Octogenario Dicatae. Uppsala 1932.",reference
"Fs Debrunner","Sprachgeschichte und Wortbedeutung. Festschrift Albert Debrunner gewidmet von Schülern, Freunden und Kollegen. Bern 1954.",reference
"Fs Dickenmann","Commentationes Linguisticae et Philologicae Emesto Dickenmann lustrum claudenti quintum decimum. Heidelberg 1977.",reference
"Fs Dumézil","Homage to Georges Dumézil. [JIES Monograph No. 3]. Washington 1982.",reference
"Fs Georgiev","Studia linguistica in honorem Vladimiri I. Georgiev. Sofia 1980.",reference
"Fs Gordon","The Bible World. Essays in Honor of Cyrus H. Gordon. New York 1980.",reference
"Fs Haugen","Studies for Einar Haugen. Presented by friends and colleagues. Den Haag-Paris 1972.",reference
"Fs Hili Om","Linguistic and Literary Studies in Honor of Archibald A. Hill. III: Historical and Comparative Linguistics. Den Haag etc. 1978.",reference
"Fs Hoens","Selected Studies on Ritual in the Indian Religions. Essays to D. J. Hoens. (Supplement to Numen XLV]. Leiden 1983.",reference
"Fs Issatschenko","Opuscula Slavica et Linguistica. Festschrift für Alexander Issatschenko. Klagenfurt 1976.",reference
"Fs Jacobi","Beiträge zur Literaturwissenschaft und Geistesgeschichte Indiens. Festgabe, Hermann Jacobi zum 75. Geburtstag dargebracht von Freunden, Kollegen und Schülern. Bonn 1926.",reference
"Fs Kaegi","Festgabe, Adolf Kaegi von Schülern und Freunden dargebracht zum 30. September 1919. Frauenfeld 1919.",reference
"Fs Kirfel","Studia lndologica. Festschrift für Willibald Kirfel zur Vollendung seines 70. Lebensjahres. (Bonner Orientalistische Studien N. S. Band 3]. Bonn 1955.",reference
"Fs Knobloch","Sprachwissenschaftliche Forschungen. Festschrift für Johann Knobloch. (IBK 23]. Innsbruck 1985.",reference
"Fs Krause","Indogermanica. Festschrift für Wolfgang Krause. Heidelberg 1960.",reference
"Fs Kuhn","Aufsätze zur Kultur und Sprachgeschichte vornehmlich des Orients, Ernst Kuhn gewidmet München(-Breslau) 1916.",reference
"Fs Kuiper","Pratidänam. Indian, Iranian and Indo-European Studies Presented to Franciscus Bernardus Jacobus Kuiper on his sixtieth birthday. Den Haag-Paris 1968.",reference
"Fs Kuryłowicz","Symbolae Linguisticae in Honorem Georgii Kuryłowicz. Breslau etc. 1965.",reference
"Fs Leroy","Recherches de Linguistique. Hommages a Maurice Leroy. Brüssel 1980.",reference
"Fs Maikiel","For Yakov Malkiel. Proceedings of the Eighth Annual Meeting of the Berkeley Linguistic Society. Berkeley 1982.",reference
"Fs Neumann","Serta Indogermanica. Festschrift für Günter Neumann zum 60. Geburtstag. Innsbruck 1982.",reference
"Fs Nyberg","Donum Natalicium H. S. Nyberg Oblatum. Stockholm 1954.",reference
"Fs Pagliaro","Studia Classica et Orientalia Antonino Pagliaro Oblata. 3 Bde., Rom 1969.",reference
"Fs Pallottino","Gli Etruschi e Roma. Atti dell'incontro di studi in onore di Massimo Pallottino. Rom 1981.",reference
"Fs Palmer","Studies in Greek, Italic, and Indo-European Linguistics offered to Leonard R. Palmer. Innsbruck 1976.",reference
"Fs Saksena","Jitam. Dr. Babu Ram Saksena Felicitation Volume [= Journal of the Akhila Bharatiya Sanskrit Parishad 11-15, 1979-1983).",reference
"Fs Schubring","Beiträge zur indischen Philologie und Altertumskunde. Walther Schubring zum 70. Geburtstag dargebracht von der deutschen Indologie. (Alt- und Neu-Indische Studien 7). Hamburg 1951.",reference
"Fs Sommer","Corona Linguistica. Festschrift Ferdinand Sommer... dargebracht von Freunden, Schülern und Kollegen. Wiesbaden 1955.",reference
"Fs Szemerényi","Studies in Diachronie, Synchronie, and Typological Linguistics, Festschrift for Oswald Szemerényi. Amsterdam 1979.",reference
"Fs Taqizadeh","A Locust's Leg. Studies in Honour of S. H. Taqizadeh. London 1962.",reference
"Fs Vogel","India Antiqua. A Volume of Oriental Studies presented ... to Jean Philippe Vogel. Leiden 1947.",reference
"Fs Wackemagel","Avn&pov. Festschrift für Jacob Wackernagel. Göttingen 1923.",reference
"Fs Waldschmidt","Beiträge zur Indienforschung. Ernst Waldschmidt zum 80. Geburtstag gewidmet. Berlin 1977.",reference
"Fs Weber","Gurupüjäkaumudi. Festgabe zum fünfzigjährigen Doctorjubiläum Albrecht Weber dargebracht von seinen Freunden und Schülern. Leipzig 1896.",reference
"Fs Weijnen","Liber Amicorum Weijnen. Een bundel opstellen aangeboden aan Prof. Dr. A. Weijnen bij zijn zeventigste verjaardag. Assen 1980.",reference
"Fs Weller","Asiatica. Festschrift Friedrich Weller zum 65. Geburtstag gewidmet von seinen Freunden, Kollegen und Schülern. Leipzig 1954.",reference
"Fs Widengren","Ex Orbe Religionum. Studia Geo Widengren ... Oblata. 2 Teile. Leiden 1972.",reference
"Fut.","Futurum.",grammar
"FuW","Aexion und Wortbildung. Akten der V. Fachtagung der Indogermanischen Gesellschaft Regensburg, 9.-14. September 1973. Wiesbaden 1975.",reference
"GA","Abhandlungen der [königlichen] Gesellschaft [- Akademie] der Wissenschaften zu Göttingen. Phil.-hist. Klasse.",reference
"Ge","K. (F.) Geldner.",other
"GenAblSg","Genetiv-Ablativ Singular.",grammar
"GenDu","Genetiv Dual.",grammar
"GenLokDu","Genetiv-Lokativ Dual.",grammar
"GenPl","Genetiv Plural.",grammar
"GenSg","Genetiv Singular.",grammar
"Germ.","Germanisch.",language
"Gersb","I. Gershevitch.",other
"Gersh, Hymn","I. Gershevitch, The Avestan Hymn to Mithra. Cambridge 1959.",reference
"GeRV","K. F. Geldner, Der Rig-Veda. Aus dem Sanskrit übersetzt und mit einem laufenden Kommentar versehen. [Harvard Oriental Series Vol. 33-36]. 4 Teile. Cambridge (Mass.) - London - Wiesbaden 1951-1957.",reference
"GeStudien","K. Geldner, Studien zum Avesta. [Erstes Heft). Straßburg 1882.",reference
"Ghosh, Formations","B. Ghosh, Les formations nominales et verbales en p du Sanskrit. Paris 1933.",reference
"GlrPh","Grundriß der Iranischen Philologie. 2 Bde. Straßburg 1895-1904. [Nachdruck Berlin-New York 1974).",reference
"GL","General Linguistics. University Park, Pennsylvania.",reference
"Glo","Glotta. Zeitschrift für griechische und lateinische Sprache. Göttingen.",reference
"GN","Nachrichten der [königlichen) Gesellschaft der Wissenschaften zu Göttingen. Phil.-hist. Klasse.",reference
"Gonda, SelStud","J. Gonda, Selected Studies. 5 Bde. Leiden 1975.",reference
"Gr.","[Alt]Griechisch.",language
"Grassm","H. Grassmann, Wörterbuch zum Rig-Veda. Leipzig 1873. [Nachdruck Wiesbaden 1976].",reference
"Gs Chatterji","Suniti Kumar Chatterji Commemoration Volume. University of Burdwan 1981.",reference
"Gs Erdődi","Hommage à Joseph Erdődi [= Études finno-ougriennes tome 15, 1978-79, Numéro special]. Paris-Budapest 1982. [Als Festschrift angelegt, aber durch den Tod des Jubilars zur Gedenkschrift geworden].",reference
"Gs Güntert","Antiquitates Indogermanicae. Studien zur Indogermanischen Altertumskunde und zur Sprach- und Kulturgeschichte der indogermanischen Völker. Gedenkschrift für Hermann Güntert. Innsbruck 1974.",reference
"Gs Henning","W. B. Henning Memorial Volume. London 1970.",reference
"Gs Kerns","Bono Homini Donum. Essays in Historical Linguistics in Memory of J. Alexander Kerns. Amsterdam 1981.",reference
"Gs Kronasser","Investigationes Philologicae et Comparativae. Gedenkschrift für Heinz Kronasser. Wiesbaden 1982.",reference
"Gs Minorsky","Iran and Islam. In Memory of the Late Vladimir Minorsky. Edinburgh 1971.",reference
"Gs Morgenstieme","Monumentum Georg Morgenstieme. I, II[= Acta Iranica 21, 22), Leiden 1981, 1982.",reference
"Gs Nyberg","Monumentum H. S. Nyberg. 1-IV [= Acta Iranica 4-7], Teheran-Lüttich-Leiden 1975.",reference
"GSolnd","Gennan Scholars on India. Contributions to Indian Studies. Ed. by the Cultural Department, Embassy of the Federal Republic of Germany, New Delhi. Vol. l, Benares 1973. Vol. Il, Bombay 1976.",reference
"Gs RaghuVira","Studies in Indo-Asian Art and Culture 2. Acharya RaghuVira Commemoration Volume. New Delhi 1973.",reference
"Gs Renou","Melanges d'indianisme a Ja memoire de Louis Renou. Paris 1968.",reference
"Gs Unvala","Dr. J. M. Unvala Memorial Volume. Bombay 1964.",reference
"Hau","C. Hauri.",reference
"Hau, -ena","C. Hauri, Zur Vorgeschichte des Ausgangs -Ena des Instr. Sing. der A-Stämme des Altindischen. [KZ Ergänzungsheft Nr. 17]. Göttingen 1963.",reference
"Hauschild","[A. Thumb-]R. Hauschild, Handbuch des Sanskrit. Eine Einführung in das sprachwissenschaftliche Studium des Altindischen. Bd. I 1, I 2, II. Heidelberg 1953-1959.",reference
"Havers","W. Havers, Neuere Literatur zum Sprachtabu. [SbÖAW 223,5]. Wien 1946.",reference
"Henning, SelP","W. B. Henning, Selected Papers I, Il [= Acta Iranica 14, 15]. Teheran-Lüttich-Leiden 1977.",reference
"Hertel, Beitr","J. Hertel, Beiträge zur Erklärung des Awestas und des Vedas. [AbhAkWissLeipzig 40,2]. Leipzig 1929.",reference
"Hes.","Hesych.",reference
"Heth.","Hethitisch.",language
"Hethldg","Hethitisch und lndogermanisch. Vergleichende Studien zur historischen Grammatik und zur dialektgeographischen Stellung der indogermanischen Sprachgruppe Altkleinasiens. Edd. E. Neu und W. Meid. Innsbruck 1979.",reference
"Hi.","Hindi.",language
"Hier.","Hieroglyphisch, hieroglyphen-(- bild-)luwisch. [S. dazu KEWA IV 210].",language
"Hiersche, Asp","R. Hiersche, Untersuchungen zur Frage der Tenues aspiratae im Indogermanischen. Wiesbaden 1964.",reference
"Hinz, NÜ","W. Hinz, Altiranisches Sprachgut der Nebenüberlieferungen .. [Göttinger Orientforschungen, III. Reihe: Iranica, Band 3]. Wiesbaden 1975.",reference
"Hock, Substratum","H. H. Hock, Substratum lnfluence on (Rig-Vedic) Sanskrit? Studies in the Linguistic Sciences, Papers on Historical Linguistics: Theory and Method Vol 5, Number 2 (Fall, 1975), S. 76-125.",reference
"Hoffm","K. Hoffmann.",reference
"HoffmA","K. Hoffinann, Aufsätze zur lndoiranistik. Wiesbaden 1975-1976.",reference
"Hom.","Homerisch.",language
"HoR","History of Religions. Chicago.",reference
"HSPh","Harvard Studies in Qassical Philology. Cambridge (Mass.)",reference
"Hs(s)","Handschrift(en).",reference
"Hüb","H. Hilbschmann.",reference
"Hüb, Gr","H. Hilbschmann, Armenische Grammatik. I. Theil: Armenische Etymologie. Leipzig 1895, 1. [Nachdruck Hildesheim-New York 1972].",reference
"Humb","H. Humbach.",reference
"Humb, Ga","H. Humbach, Die Gatbas des Zarathustra. Band I, II. Heidelberg 1959.",reference
"IAV","Indoarisch im Alten Vorderasien.",reference
"IBK","Innsbrucker Beiträge zur Kulturwissenschaft. Innsbruck.",reference
"lBS(-VKS)","Innsbrucker Beiträge zur Sprachwissenschaft (Vorträge [und kleinere Schriften]). Innsbruck.",reference
"Idg.","Indogermanisch.",language
"IESt","Indo-European Studies. Cambridge (Mass.).",reference
"IF","Indogermanische Forschungen. Zeitschrift für Indogermanistik und allgemeine Sprachwissenschaft. Zuletzt Berlin-New York.",reference
"IIJ","lndo-Iranian Journal. Zuletzt Dordrecht-Boston.",reference
"Iir.","Indoiranisch.",language
"Imp.","Imperativ.",grammar
"Impf.","Imperfekt.",grammar
"IndJaz","Indijskoe Jazykomanie. Moskau 1978.",reference
"IndStud","Indische Studien. Beiträge für die Kunde des indischen Alterthums. Berlin, später Leipzig.",reference
"lndT","Indologica Taurinensia. Official Organ of the International Association of Sanskrit Studies. Turin.",reference
"Inf.","Infinitiv.",grammar
"InL","Incontri Linguistici. Zuletzt Pisa.",reference
"Ins","S. Insler.",reference
"Ins, Ga","S. Inster, The Gätbäs of Zarathustra. [= Acta Iranica 8). Teheran-Lüttich-Leiden 1975.",reference
"InstrDu","Instrumental Dual.",grammar
"InstrPl","Instrumental Plural.",grammar
"InstrSg","Instrumental Singular.",grammar
"IPNB","Iranisches Personennamenbuch. Bd. I (Wien 1979) ff.",reference
"JA","Journal asiatique. Paris.",reference
"JamHumb, Pu","K. M. JamaspAsa-H. Humbach, Pursisnihä. A Zoroastrian Catechism. Wiesbaden 1971.",reference
"JAOS","Journal of the American Oriental Society. New Haven (Conn.).",reference
"Jav.","Jungavestisch.",language
"JB","Jaiminiya-BrähmaQ.a.",reference
"JIES","The Journal of lndo-European Studies. Zuletzt Washington (D.C.).",reference
"Joachim","U. Joachim, Mehrfachpräsentien im J.{gveda. [Europäische Hochschulschriften Reihe XXI Band 4]. Frankfurt a.M.-Bem-Las Vegas 1978.",reference
"Joki","A. J. Joki, Uralier und Indogermanen. Die älteren Berührungen zwischen den uralischen und indogermanischen Sprachen. [Suomalais-Ugri-Iaisen Seuran Toimituksia 151]. Helsinki 1973.",reference
"JuB","Jaiminiya-Upani$ad-BrähmaQ.a.",reference
"Justi, Hb","F. Justi, Handbuch der Zendsprache. Altbactrisches Woerterbuch. Grammatik. Chrestomathie. Leipzig 1864. [Nachdruck Wiesbaden 1969].",reference
"KammArier","A. Kammenhuber, Die Arier im Vorderen Orient. Heidelberg 1968.",reference
"Kāṭh","Käthaka-Samhit.ii.",reference
"KB","Kau$itaki-BrähmaQ.a.",reference
"KBS","Klageofurter Beiträge zur Sprachwissenschaft. Klagenfurt.",reference
"Kel, NR","J. Kellens, Les noms-racines de l' Avesta. [Beiträge zur Iranistik Band 7]. Wiesbaden 1974.",reference
"Kent","R. G. Kent, Old Persian. Grammar, Texts, Lexicon. [American Oriental Series Vol. 33). Second Edition, Revised. New Haven (Conn.) 1953.",reference
"KEWA","M. Mayrhofer, Kurzgefaßtes etymologisches Wörterbuch des Altindischen. A Concise Etymological Sanskrit Dictionary. 4 Bde., Heidelberg 1956-1980.",reference
"Kho.","Khowar.",language
"Khot.","Khotansakisch.",language
"Kiehnle","C. Kiehnle, Vedisch uk$ und uk$/vak$. Wortgeschichtliche und exegetische Untersuchungen. [Alt-und Neu-Indische Studien 21]. Wiesbaden 1979.",reference
"Kl.","Klassisch.",language
"Kli","G. Klingenschmitt.",reference
"Kli, Altarm Verbum","G. Klingenschmitt, Das altarmenische Verbum. Wiesbaden 1982.",reference
"Kli, Farhang","G. Klingenschmitt, Farhang-i öim. Edition und Kommentar. Phil. Diss. Erlangen-Nürnberg 1968. [Fotokopie).",reference
"Kölv","B. Kölver, Verschliffene Präfixe im Altindischen. [Abhandlungen für die Kunde des Morgenlandes XLII, 3]. Wiesbaden 1976.",reference
"Kortl","F. Kortlandt.",reference
"Krat","Kratylos. Kritisches Berichts- und Rezensionsorgan für indogermanische und allgemeine Sprachwissenschaft. Wiesbaden.",reference
"KS","Kleine Schriften.",reference
"Ksl.","Kirchenslavisch.",language
"Kui","F. [B. J.J Kuiper.",reference
"Kui, Nas","F. B. I. Kuiper, Die indogermanischen Nasalpräsentia. Ein Versuch zu einer morphologischen Analyse. Amsterdam 1937.",reference
"Kui, Nounlnfl","F. B. I. Kuiper, Notes on Vedic Noun-Inflexion. [MKNA Deel 5, N° 4). Amsterdam 1942.",reference
"Kui, Shortening","F. B. J. Kuiper, Shortening of Final Vowels in the Rigveda. [MKNA Deel 18, N° 11]. Amsterdam 1955.",reference
"Kur","I. Kurylowicz.",reference
"Kur, Ét","I. Kurylowicz, Études Indoeuropeennes [I]. [Polska Akadetaja Umiej~tnosci, Prace Komisji J~zykowej N' 21]. Krakau 1935.",reference
"KZ","Zeitschrift für Vergleichende Sprachforschung. Begründet von Adalbert Kuhn. Zuletzt Göttingen.",reference
"Larson (ed.), Myth","G. I. Larson (ed.), Myth in Indo-European Antiquity. Berkeley-Los Angeles-London 1974.",reference
"Lat","Lateinisch.",language
"LautgEt","Lautgeschichte und Etymologie. Akten der VI. Fachtagung der Indogermanischen Gesellschaft Wien, 24.-29. September 1978. Wiesbaden 1980.",reference
"Leum","E. und I. Leumann, Etymologisches Wörterbuch der Sanskrit-Sprache. Lieferung I: Einleitung und a bis jü. [Indica Heft 1]. Leipzig 1907.",reference
"Lewy, KS","E. Lewy, Kleine Schriften. [Deutsche Akademie der Wissenschaften zu Berlin, Veröffentlichungen der Sprachwissenschaftlichen Kommission I]. Berlin 1961.",reference
"Lg","Language. Journal of the Linguistic Society of America. Baltimore (Md.).",reference
"Liebert","G. Liebert, Das Nominalsuffix -ti- im Altindischen. Ein Beitrag zur altindischen und vergleichenden Wortbildungslehre. Lund 1949.",reference
"Lindeman, TrRepr","F. O. Lindeman, The triple representation of Schwa in Greek and some related problems of Indo-European phonology. Oslo-Bergen-Troms0 1982.",reference
