abbreviation,full,type
"Goto, Mat 1997","T. Gotō, Materialien zu einer Liste altindi- scher Verbalformen: 16. chad, 17, chand/ chad, 18. chard/chrd, 19. dagh/dhag, 20. dves/dvis, 21. bandh/badh, 22. 'man, 23. 2man, 24. mnă, 25. 'yav/yu, 26. yav/yu, 27. san', 28. star/str, 29. star/stj. Bulletin of the National Museum of Ethnology (o. 1, XXXII, II, XVI) 22 (1997 [1998]) 1001-1059.",reference
"Gs Alsdorf","Studien zum Jainismus und Buddhismus. Gedenkschrift für L. Alsdorf. [Alt- und Neuindische Studien 23]. Wiesbaden 1981.",reference
"Gs Kuryłowicz I","Kuryłowicz Memorial Volume, Part One, Krakau 1995.",reference
"Gs Leroy","Florilegium Historiographiae Linguisticae. Etudes d'historiographie de la linguistique et de grammaire comparée à la mémoire de Maurice Leroy. Louvain-la-Neuve 1994.",reference
"Gs Sircar","Deyadharma. Studies in Memory of Dr. D. C. Sircar. Delhi 1986.",reference
"Günt, RW","H. Güntert, Über Reimwortbildungen im Arischen und Altgriechischen. Heidelberg 1914.",reference
"HarvJAS","Harvard Journal of Asiatic Studies. Cambridge/Mass.",reference
"Heidermanns","F. Heidermanns, Etymologisches Wörterbuch der germanischen Primäradjektive. Berlin New York 1993.",reference
"Hiersche, DEW","R. Hiersche, Deutsches etymologisches Wörterbuch. Buchstabe A, Heidelberg 1986; Buchstabe D, 1. Lieferung, Heidelberg 1990.",reference
"HinOPM","O. v. Hinüber, The Oldest Páli Manuscript. [AAWL 1991: 6]. Mainz 1991.",reference
"HinPāLit","O. v. Hinüber, A Handbook of Pāli Literature. Berlin - New York 1996.",reference
"HinSchrift","O. v. Hinüber, Der Beginn der Schrift und frühe Schriftlichkeit in Indien. [AAWL 1989: 11]. Wiesbaden - Stuttgart 1990.",reference
"HinSelP","O. v. Hinüber, Selected Papers on Páli Studies. Oxford 1994.",reference
"HinSprachentw","O. v. Hinüber, Sprachentwicklung und Kulturgeschichte. Ein Beitrag zur materiellen Kultur des buddhistischen Klosterlebens. [AAWL 1992: 6] Stuttgart 1992.",reference
"HinUnters","O. v. Hinüber, Untersuchungen zur Mündlichkeit früher mittelindischer Texte der Buddhisten. [AAWL 1994: 5] Stuttgart 1994.",reference
"Hoffm-Forssm","K. Hoffmann - B. Forssman, Avestische Laut- und Flexionslehre. Innsbruck 1996. [Irrig o. II, XVIII („... und Formenlehre“)].",reference
"HopkinsEM","E. W. Hopkins, Epic Mythology. [GIndAPh III, 1B]. Straßburg 1915.",reference
"Huyse, ŠKZ","Ph. Huyse, Die dreisprachige Inschrift Šabuhrs I. an der Kaᶜba-i Zardušt (ŠKZ). Diss. Kathol. Univ. Leuven, Faculteit der Letteren en Wijsbegeerte 1991. Leuven 1991.",reference
"IHQ","Indian Historical Quarterly. Kalkutta.",reference
"IndIrIdg","Indoarisch, Iranisch und die Indogermanistik, Arbeitstagung der Indogermanischen Gesellschaft... 1997 in Erlangen. Wiesbaden 2000.",reference
"JAsSoc","Journal of the Asiatic Society. Kalkutta.",reference
"JEĀS","Journal of the European Āyurvedic Society. Reinbek. [~ JEAyS, o. I, XXXVII].",reference
"JollyMedicin","J. Jolly, Medicin. [GIndAPh III, 10]. Straßburg 1901.",reference
"Justi, Nb","F. Justi, Iranisches Namenbuch. Marburg 1895, Nachdruck Hildesheim 1963.",reference
"KarttunenIHW","K. Karttunen, India and the Hellenistic World. [StudOr 83]. Helsinki 1997.",reference
"Karve","s. Apte2, o. III XX.",reference
"Katre, Pāṇ","Aṣṭādhyāyi of Pāṇini, Roman Transliteration and English Translation by S. M. Katre. Delhi etc. 1989.",reference
"Kazzazi, „Mann“ und „Frau“","K. Kazzazi, „Mann“ und „Frau“ im Rgveda. Mit einem Exkurs über Wörter für „Frau“ im Atharvaveda. Innsbruck 2001.",reference
"KirfelKosm","W. Kirfel, Die Kosmographie der Inder nach den Quellen dargestellt. Bonn - Leipzig 1920.",reference
"Kittel","F. Kittel, A Kannada-English Dictionary. Mangalore 1894.",reference
"KuiKS","F. B. J. Kuiper, Selected Writings on Indian Linguistics and Philology [LSIE 8]. Amsterdam - Atlanta 1997.",reference
"Lagarde, GesAbh","P. de Lagarde, Gesammelte Abhandlungen. Leipzig 1866, Nachdruck Osnabrück 1966,",reference
"LassenIA","Ch. Lassen, Indische Alterthumskunde. I. Band, 2. Auflage, Leipzig - London 1867.",reference
"Leumann, KS","M. Leumann, Kleine Schriften. Herausgegeben zum 60. Geburtstag am 6. Oktober 1959. Zürich Stuttgart 1959.",reference
"Lexis","Lexis. Studien zur Sprachphilosophie, Sprachgeschichte und Begriffsforschung. Lahr i.B.",reference
"LIV","LIV. Lexikon der indogermanischen Verben. Die Wurzeln und ihre Primärstammbildungen. Unter Leitung von Helmut Rix ... bearbeitet von Martin Kümmel, Thomas Zehnder, Reiner Lipp, Brigitte Schirmer. Wiesbaden 1998.",reference
"Lokotsch","-K. Lokotsch, Etymologisches Wörterbuch der europäischen (germanischen, romanischen und slavischen) Wörter orientalischen Ursprungs. Heidelberg 1927.",reference
"Lüders, Beob","H. Lüders, Beobachtungen über die Sprache des buddhistischen Urkanons. [AbhAkWissBerlin 1952: 10). Berlin 1954.",reference
"Lüders, MathI","H. Lüders, Mathura Inscriptions. [AbhAkGöttingen 3. Folge Nr. 47]. Göttingen 1961.",reference
"Lüders, Śaubhikas","H. Lüders, Die Saubhikas. Ein Beitrag zur Geschichte des indischen Dramas. SbAk- Berlin 1916, 698–737 | Phillnd 391–428).",reference
"Lüders, Text","H. Lüders, Textilien im alten Turkestan. [AbhAkWissBerlin 1936: 3]. Berlin 1936.",reference
"Malten","Th. Malten, Reduplizierte Verbstämme im Tamil. [BSüdAF Band 127]. Stuttgart 1989.",reference
"Marzell","H. Marzell, Wörterbuch der deutschen Pflanzennamen. I.-V. Band, Leipzig 1943-1979.",reference
"Medioir","Medioiranica. Proceedings of the International Colloquium organized by the Katholieke Universiteit Leuven... 1990. [Orientalia Lovaniensia Analecta 48]. Leuven 1993).",reference
"Meyer","J. J. Meyer, Das altindische Buch vom Welt- und Staatsleben. Leipzig 1926.",reference
"MeyerTril","J. J. Meyer, Trilogie altindischer Mächte und Feste der Vegetation. Ein Beitrag zur vergleichenden Religions- und Kulturgeschichte, Fest- und Volkskunde. Zürich und Leipzig 1937.",reference
"Mh, AKS [II]","Mh, AKS [I] (o. I, XLIII), Band II (nach AKS [I] weiterlaufend paginiert). Wiesbaden 1996.",reference
"MyliusLit","K. Mylius, Geschichte der altindischen Literatur. Bern-München-Wien 1988.",reference
"MyliusPā","K. Mylius, Wörterbuch Pali-Deutsch, Wich- trach 1997.",reference
"Norman, CollP","K. R. Norman, Collected Papers I-V. Oxford 1990-1994.",reference
"Onions","C. T. Onions (ed.), The Oxford Dictionary of English Etymology. New York und Oxford 1966 [Reprinted 1979].",reference
"Onoma","Onoma. Bibliographical and Information Bulletin. Leuven.",reference
"Petersson, BuSl","= H. Petersson, Baltisches und Slavisches. [Lunds Universitets Årsskrift N. F. Avd. 1, Bd. 12, No. 2]. Lund 1916.",reference
"Petersson, StFortR","= H. Petersson, Studien zu Fortunatovs Regel, Lund 1911.",reference
"Pisani, LeC","= V. Pisani, Lingue e Culture. Brescia 1969.",reference
"Puhvel IV","= Puhvel (o. I, XLVII) Vol. 4: Words beginning with K. Berlin-New York 1997.",reference
"Régamey","= C. Régamey, Bibliographie analytique des travaux relatifs aux éléments anaryens dans la civilisation et les langues de l'Inde. [Ex- trait du Bulletin de l'École Française d'Extrême-Orient, t. XXXIV, 1935].",reference
"RESuppl XV","= Paulys Realencyclopädie der Classischen Altertumswissenschaft. Neue Bearbeitung begonnen von G. Wissowa, fortgeführt von W. Kroll und K. Mittelhaus... hg. von K. Ziegler. Supplementband XV. München 1978.",reference
"Roesler, Licht","= U. Roesler, Licht und Leuchten im Rgveda. Untersuchungen zum Wortfeld des Leuchens und zur Bedeutung des Lichts. [Indica et Tibetica Band 32]. Swisttal-Odendorf 1997.",reference
"RossilLEB","= A. V. Rossi, Iranian Lexical Elements in Brahui. Neapel 1979.",reference
"Roth, SelP","= G. Roth, Indian Studies (Selected Papers). Delhi 1986.",reference
"Scharfe, Unters","H. Scharfe, Untersuchungen zur Staatsrechtslehre des Kautalya. Wiesbaden 1968.",reference
"SchlingloffStadt","D. Schlingloff, Die altindische Stadt. Eine vergleichende Untersuchung. [AAWL 1969: 51. Mainz 1969 (1970).",reference
"Schmid , Alteur","W. P. Schmid, Alteuropäisch und Indo-germanisch. [AAWL 1968: 6]. Mainz 1968.",reference
"Schm, IrNAisch","R. Schmitt, Die Iranier-Namen bei Aischylos. (Iranica Graeca Vetustiora. I). SbOAW 337, Wien 1978.",reference
"SchokkerPād","G. H. Schokker (ed.), The Pädatäditaka of Syamilaka. [Indo-Iranian Monographs IX]. Den Haag-Paris 1966.",reference
"Schwarzschild, CA","L. A. Schwarzschild, Collected Articles on Indo-Aryan 1953-1979. Canberra 1991.",reference
"Sharma-Vermeer","A. Sharma - H. J. Vermeer, Hindi-Deutsches Wörterbuch. Band I. Hamburg 1987.",reference
"Sircar","D. C. Sircar, Indian Epigraphical Glossary. Delhi u.a. 1966.",reference
"SköldNir","H. Sköld, The Nirukta. Its Place in Old Indian Literature[,] Its Etymologies. [Skri f- ter utgivna av kungl. humanistiska veten-skaps samfundet i Lund VIIIJ. Lund usw. 1926.",reference
"Šmilauer","V. Šmilauer, Handbuch der slawischen Toponomastik. Prag 1970.",reference
"Speyer, Studies","J. S. Speyer, Studies about the Kathasarit-sägara. [VKNA Deel VIII. N°. 5]. Amsterdam 1908.",reference
"Stein, KS","O. Stein, Kleine Schriften. [Glasenapp-Stiftung Bd. 25]. Stuttgart 1985.",reference
"SteinRājat","Kalhana's Rājatarangini. Translated... by M. A. Stein. 2 Bde., Westminster 1900, Neudruck Delhi 1961.",reference
"Stietencron, IndSo","H. v. Stietencron, Indische Sonnenpriester. Samba und die Sakadvipiya-Brahmana. Wiesbaden 1966.",reference
"SuSermon","W. Sundermann, Der Sermon von der Seele. [Berliner Turfantexte XIX]. Turnhout 1997.",reference
"S-W, C2","N. Sims-Williams, The Christian Sogdian Manuscript C2. [Berliner Turfantexte 12]. Berlin 1985.",reference
"TuReg","R. L. Turner, A Comparative Dictionary of the Indo-Aryan Languages. Indexes [.] Compiled by D. R. Turner. London-New York-Toronto 1969.",reference
"Watkins, Dragon","C. Watkins, How to Kill a Dragon. Aspects of Indo-European Poetics. New York - Oxford 1995.",reference
"Wiersmate Nijenhuis","E. Wiersma - te Nijenhuis, Dattilam. A Compendium of Ancient Indian Music. [ORHT Vol. 11]. Leiden 1970.",reference
"Winternitz, KS","M. Winternitz, Kleine Schriften. 2 Tle. [Glasenapp-Stiftung Bd. 30]. Stuttgart 1991.",reference
"WinternitzLitt I, II","M. Winternitz, Geschichte der indischen Litteratur. Band II, III. Leipzig 1920.",reference
"WrbVIA I","Ch. H. Werba, Verba Indoarica. Die primären und sekundären Wurzeln der Sanskrit-Sprache. Pars I: Radices Primariae. Wien 1997.",reference
"Zachariae, Beitr","Th. Zachariae, Beiträge zur indischen Lexicographie. Berlin 1883.",reference
"Zachariae, KS","Th. Zachariae, Opera Minora 1, 2. [Glasenapp-Stiftung Bd. 12, 1, 2]. Wiesbaden 1977.",reference
"Abhidh","Abhidhanappadipikā.","literature"
"Āryav","Āryavidyasudhakara.","literature"
"Ass.","Assami, Assamesisch.","language"
"AṣṭG","Aṣṭāvakra-Gītā.","literature"
"Astron.","Astronomisch, in astronomischen Texten vorkommend.","science"
"Aśvav.","Aśvavaidyaka.","literature"
"Aua","Austroasiatisch.","language"
"Aw.","Awadhi.","language"
"Bādar","Bādarāyaṇa, Vedantasūtras.","literature"
"Bālar","Bālarāmāyaṇa.","literature"
"Bhadrab","Bhadrabāhucarita.","literature"
"BhāgP","Bhāgavata-Purāņa.","literature"
"Bhām","Bhāminīvilāsa.","literature"
"Bhaṭṭ","Bhaṭṭikāvya.","literature"
"Bhāvapr","Bhāvaprakāśa.","literature"
"Bih.","Bihārī.","language"
"BowerMs","Bower-Manuskript.","manuscript"
"Br̩hatk","Br̩hatkathāślokasaṁgraha.","literature"
"Cāṇ","Cāṇakya.","literature"
"Chāg","Chāgaleya-Upaniṣad.","literature"
"Dam.","Dameli (Damẽḍī́)","language"
"Damay","Damayantīkathā.","literature"
"Daśak","Daśakumāracarita.","literature"
"Daśar","Daśarūpa.","literature"
"Daśāv","Daśāvatśracarita.","literature"
"Deś","Deśīnāmamālā.","literature"
"Dhūrtan","Dhūrtanartaka.","literature"
"Dhūrtas","Dhūrtasamāgama.","literature"
"Gal","Galanos.","other"
"Gaṇar","Gaṇaratnamahodadhi.","literature"
"Gaṇit","Gaṇitādhyāya","literature"
"Go.","Gondi","language"
"GopKC","Gopālakelicandrikā.","literature"
"Govardh","Govardhana, Āryāsaptaśatī","literature"
"Harav","Haravijaya.","literature"
"Hariv","Harivaṁśa.","literature"
"Harṣac","Harṣacarita.","literature"
"Hastyā","Hastyāyurveda.",literature
"Hcat","Hemādri, Caturvargacintāmaṇi.","literature"
"Hem","Hemacandra",literature
"Īśv","Īśvaragītā.",literature
"Kād","Kādambarī.","literature"
"Kālac","Kālacakra",literature
"KāmN","Kāmandakīya-Nītisāra.","literature"
"Kat.","Katalog(e).",literature
"Kathārṇ","Kathārṇava.","literature"
"Kathās","Kathāsaritsāgara.",literature
"Kauṭ","Kauṭilya.","literature"
"Kāvyād","Kāvyādarśa.",literature
"Kāvyapr","Kāvyaprakāśa.","literature"
"Kol.","Kolami.",language
"Kull","Kullūka, Komm. zu Mn.","literature"
"Kum.","Kumaonī.",language
"Kuval","Kuvalayāndakārikā.","literature"
"Kur.","Kurukh (Kurux).",language
"Kuṭṭ","Kuṭṭanīmata.",literature
"Madanav","Madanavinoda.","literature"
"Mahavy","Mahāvyutpatti.",literature
"Maith.","Maithilī.","language"
"MaitrUp","Maitryupaniṣad",literature
"Mālat","Mālatīmādhava","literature"
"Mānas","Mānasollāsa","literature"
"Manmath","Manmathonmathana.","literature"
"Mbg.","Mittel-Bengali.","language"
"Mbh","Mahābhārata.","literature"
"Mlat.","Mittellatein.",language
"Mrcch","Mr̩cchakaṭikā.","literature"
"Naiṣ","Naiṣadhacarita.","literature"
"Nalac ","Nalacampū.","literature"
"Ne.","Neuenglisch.","language"
"Nīlak.","Nīlakaṇṭha.","literature"
"Nīlam.","Nīlamata-Upapurāṇa.","literature"
"Nk(Ch)","Naiki (Chanda).","literature"
"Nl","Niederländisch.","language"
"PadmaP","Padma-Purāņa.","literature"
"pām.","den Pāmirsprachen zugehörig.","literature"
"Pañcad","Pañcadaṇḍacchattraprabandha.","literature"
"Pañcar.","Pañcaratra.","literature"
"Pancat","Pañcatantra.","literature"
"ParDhŚ","Parāśaras Dharmaśastra.",literature
"Pārśvan","Pārśvanāthacarita.","literature"
"Phal.","Phalūṛa.","literature"
"Prab","Prabodhacandrodaya.","literature"
"PrabhĀr","Prabhācandra, Ārādhanākathāprabandha.",literature
"Pracaṇḍ","Pracaṇḍapāṇḍava.",literature
"Prasannar","Prasannarāghava.",literature
"Pūrṇabh","Pūrṇabhadra.","literature"
"Rājan","Rājanighaṇṭu. ","literature"
"Rājat","Rājataraṅginī.","literature"
"RājPrab","Rājaśekharasūri, Prabandhakośa.","literature"
"Rām","Rāmāyaṇa",literature
"RāmatUp","Rāmatāpanīya-Upaniṣad.","literature"
"Sa.","Santali (Santālī).",language
"Śabdar","Śabdaratnākara.",literature
"Sāh","Sāhityadarpaṇa.",literature
"ŚrāṅgS","Śrāṅgadhara-Saṁhitā.",literature
"Sarvad.","Sarvadarśanasaṁgraha.",literature
"Śatr","Śatruñjayamāhātmya.",literature
"Si.","Sindhī.",language
"Siṁhās","Siṁhāsanadvātriṁśikā.",literature
"Śiś","Śiśupālavadha.",literature
"ŚKDr","Śabdakalpadruma.",literature
"Śrīkaṇṭh","Śrīkaṇṭhacarita.",literature
"ŠKZ","Šabuhr I., dreisprachige Inschrift an der Ka'ba-i Zardust. [S. auch Huyse, o. III XXV).",literature
"SaUB","Saṁhitopaniṣadbrāhmaṇa.",literature
"Subh","Subhāṣitāvalī.",literature
"Śuk [t. o.]","Śukasaptati [textus ornatior].",literature
"Sūryas","Sūryasiddhānta.",literature
"Tel.","Telugu.",language
"Vāgbh","Vāgbhata, Aṣṭāṅgahṛdayasaṁhitā.",literature
"VaikhGr̩S.","Vaikhānasagr̩hyasūtra.",literature
"VaikhŚrS.","Vaikhānasaśrautasūtra.",literature
"VarBr̩j","Varāhamihira, Br̩hajjātaka.",literature
"VarHo","Varāhamihira, Horāśāstra.",literature
"VarLagh.","Varāhamihira, Laghujātaka.",literature
"VarYog","Varāhamihira, Yogayātrā.",literature
"Vāsav","Vāsavadattā.",literature
"VasŚāk","Vasantarājas Śākuna.",literature
"Vcar","Vikramāṅkadevacarita.",literature
"Vcar","Vikramāṅkadevacarita.",literature
"Vedāntas","Vedāntasāra.",literature
"VetJambh","Vetālapañcaviṁsatikā, Jambhaladatta-Version.",literature
"Viddh","Viddhaśālabhañjikā.",literature
"XVan","Xerxes, Van.",literature
"FlN","Flußname.",übrige
"incl.","inclusie.",übrige
"Z. T(l)","zum Teil.",übrige
